,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
0,1,1,58.0,Сомони,Сегодня 21:56,330000,"(38.5858337, 68.793715)"
1,1,14,68.0,92 мкр,Сегодня 21:56,340000,"(38.52225355, 68.74991793788521)"
2,3,8,50.0,,Сегодня 21:55,700000,"(nan, nan)"
3,3,14,84.0,112 мкр,Сегодня 21:51,700000,"(38.5208346, 68.74790775)"
4,3,3,83.0,фабрика Ширин,Сегодня 21:48,415000,"(38.564374400000005, 68.73941921022708)"
5,3,4,53.0,32 мкр,Сегодня 21:42,513000,"(38.53068645, 68.74526127900722)"
6,2,12,67.0,И.Сомони,Сегодня 21:39,360000,"(38.5871679, 68.7869964)"
7,2,4,52.0,,Сегодня 21:32,397000,"(nan, nan)"
8,2,7,95.0,,Сегодня 21:14,499000,"(nan, nan)"
9,2,15,73.0,якум советский,Сегодня 21:14,450000,"(38.538394249999996, 68.754725015596)"
10,1,16,47.0,,Сегодня 21:07,395000,"(nan, nan)"
11,2,15,52.0,Зарафшон,Сегодня 21:06,370000,"(38.5853222, 68.71890381645422)"
12,1,4,50.0,Сино,Сегодня 21:05,490000,"(38.5615057, 68.739065)"
13,2,11,51.0,Зарафшон,Сегодня 21:05,430000,"(38.5853222, 68.71890381645422)"
14,2,9,48.0,Испечак,Сегодня 21:01,391000,"(38.585271649999996, 68.7282739598053)"
15,3,12,98.0,,Сегодня 20:58,1026000,"(nan, nan)"
16,2,3,55.0,,Сегодня 20:54,375000,"(nan, nan)"
17,1,7,65.0,Бозори Балх,Сегодня 20:52,229000,"(38.5408908, 68.72091576322063)"
18,3,15,50.0,,Сегодня 20:52,575000,"(nan, nan)"
19,4,17,122.0,,Сегодня 20:52,1290000,"(nan, nan)"
20,3,6,78.0,И. Сомони,Сегодня 20:45,710000,"(38.5871679, 68.7869964)"
21,1,7,67.0,Хитой бозор,Сегодня 20:40,275000,"(38.554049899999995, 68.78854784999999)"
22,3,11,106.0,н.Сино 82 мкр.,Сегодня 20:39,1112300,"(38.5615057, 68.739065)"
23,4,3,67.0,Филармония с/шерози 37/2,Сегодня 20:36,900000,"(38.5635832, 68.7537962)"
24,2,17,70.0,70 (квадрат),Сегодня 20:36,300000,"(38.52398815, 68.75070675)"
25,3,10,68.0,Яккачинор,Сегодня 20:19,473100,"(38.5644634, 68.7598051)"
26,3,3,90.0,Сино,Сегодня 19:59,433200,"(38.5615057, 68.739065)"
27,2,10,50.0,,Сегодня 19:52,330000,"(nan, nan)"
28,3,11,50.0,,Сегодня 19:48,910000,"(nan, nan)"
29,3,9,50.0,,Сегодня 19:47,1020000,"(nan, nan)"
30,2,11,73.0,И. Сомони,Сегодня 19:42,855000,"(38.5871679, 68.7869964)"
31,2,7,79.0,Филармония,Сегодня 19:36,490000,"(38.5635832, 68.7537962)"
32,1,12,64.0,Филармония,Сегодня 19:36,355000,"(38.5635832, 68.7537962)"
33,2,14,56.0,Сино 92мкр,Сегодня 19:35,421000,"(38.5615057, 68.739065)"
34,2,3,53.0,Фирдавси,Сегодня 19:31,300000,"(38.5305762, 68.7763022)"
35,3,2,60.0,,Сегодня 19:28,550000,"(nan, nan)"
36,1,3,45.0,Фирдавси,Сегодня 19:28,180000,"(38.5305762, 68.7763022)"
37,3,3,80.0,1 советский,Сегодня 19:25,680000,"(38.5887216, 68.73026537888512)"
38,3,2,80.0,82 мкр,Сегодня 19:25,780000,"(38.5234594, 68.74951586109968)"
39,2,4,52.0,7 км,Сегодня 19:24,193000,"(38.5885533, 68.7787884)"
40,1,13,42.0,Аеропорт,Сегодня 19:23,262000,"(38.54557415, 68.82363701984585)"
41,1,9,41.0,Зарафшон,Сегодня 19:21,117000,"(38.5853222, 68.71890381645422)"
42,2,4,36.0,Фирдавси,Сегодня 19:19,325000,"(38.5305762, 68.7763022)"
43,2,4,52.0,Шохмансур,Сегодня 19:19,547000,"(38.5507163, 68.8305472)"
44,6,4,95.0,101 мкр,Сегодня 19:17,990000,"(38.5425835, 68.81521423589763)"
45,2,17,52.0,Фирдавси,Сегодня 19:14,455000,"(38.5305762, 68.7763022)"
46,3,17,70.0,63 мкр,Сегодня 19:14,370000,"(38.58288255, 68.7482971)"
47,3,14,109.0,Кохи Борбад,Сегодня 19:12,570000,"(38.58227975, 68.76266008256485)"
48,1,4,60.0,Шохмансур,Сегодня 19:06,420000,"(38.5507163, 68.8305472)"
49,4,3,75.0,,Сегодня 19:01,639000,"(nan, nan)"
50,3,5,87.0,Политехникум,Сегодня 19:01,550000,"(38.53258295, 68.73744528032304)"
51,4,7,153.0,Опера,Сегодня 19:00,2093040,"(38.5686785, 68.79479377896965)"
52,2,7,95.0,Шохмансур,Сегодня 19:00,685000,"(38.5507163, 68.8305472)"
53,1,7,66.0,,Сегодня 18:57,413820,"(nan, nan)"
54,1,5,53.0,,Сегодня 18:54,332310,"(nan, nan)"
55,3,10,92.0,Зарафшон,Сегодня 18:53,570000,"(38.5853222, 68.71890381645422)"
56,2,8,80.0,92 мкр,Сегодня 18:53,592000,"(38.52225355, 68.74991793788521)"
57,3,7,70.0,92 мкр,Сегодня 18:50,57000,"(38.52225355, 68.74991793788521)"
58,2,2,60.0,91 мкр,Сегодня 18:41,500000,"(38.54670385, 68.74736905)"
59,2,7,55.0,63 мкр,Сегодня 18:38,435000,"(38.58288255, 68.7482971)"
60,1,7,54.0,Гипрозем,Сегодня 18:28,201999,"(38.5112209, 68.73803768568288)"
61,2,16,78.0,Hilton,Сегодня 18:23,371000,"(38.5623522, 68.81128815016059)"
62,2,5,60.0,Фирдавси,Сегодня 18:21,465000,"(38.5305762, 68.7763022)"
63,2,9,64.0,Зарафшон-2,Сегодня 18:16,200000,"(38.5832623, 68.7107404123386)"
64,3,3,75.0,Фирдавси,Сегодня 18:08,590000,"(38.5305762, 68.7763022)"
65,2,6,71.0,Н.Сино,Сегодня 18:08,270000,"(38.571596549999995, 68.76501266615352)"
66,2,1,60.0,91 мкр,Сегодня 18:06,521082,"(38.54670385, 68.74736905)"
67,2,4,37.0,цирк,Сегодня 18:01,380000,"(38.5575994, 68.76368975457416)"
68,1,12,64.0,Караболо,Сегодня 18:00,344000,"(nan, nan)"
69,2,3,49.0,Фирдавси,Сегодня 17:52,173000,"(38.5305762, 68.7763022)"
70,2,4,49.0,Фирдавси 1-ум куча,Сегодня 17:52,288000,"(38.5305762, 68.7763022)"
71,2,7,43.0,Мадад,Сегодня 17:49,345000,"(38.5655442, 68.7958866)"
72,1,6,46.0,Сино,Сегодня 17:49,280000,"(38.5615057, 68.739065)"
73,2,2,78.0,Сино,Сегодня 17:46,456000,"(38.5615057, 68.739065)"
74,2,4,49.0,Фирдавси Гипразем Сомони 1,Сегодня 17:40,280000,"(38.5305762, 68.7763022)"
75,2,5,41.0,Фирдавси,Сегодня 17:40,252000,"(38.5305762, 68.7763022)"
76,2,6,65.0,Караболо,Сегодня 17:37,625000,"(nan, nan)"
77,2,9,88.0,Шохмансур,Сегодня 17:37,812500,"(38.5507163, 68.8305472)"
78,1,2,51.0,Шохмансур,Сегодня 17:36,470000,"(38.5507163, 68.8305472)"
79,3,10,90.0,Опера,Сегодня 17:36,461700,"(38.5686785, 68.79479377896965)"
80,2,14,82.0,Филармония,Сегодня 17:35,448000,"(38.5635832, 68.7537962)"
81,1,14,62.0,Филармония,Сегодня 17:35,340000,"(38.5635832, 68.7537962)"
82,3,5,160.0,Спартак,Сегодня 17:35,1058000,"(38.58096865, 68.79602632635067)"
83,2,10,87.0,Шохмансур,Сегодня 17:33,406000,"(38.5507163, 68.8305472)"
84,1,11,57.0,Шохмансур,Сегодня 17:33,266000,"(38.5507163, 68.8305472)"
85,3,10,104.0,Исмоил Сомони,Сегодня 17:32,640000,"(38.5739136, 68.7854047)"
86,3,15,116.0,Айни 49,Сегодня 17:32,634700,"(38.5637406, 68.7921509)"
87,1,14,57.0,Айни,Сегодня 17:32,318400,"(38.533662, 68.6677214)"
88,1,12,74.0,Айни 63,Сегодня 17:31,430000,"(38.5637406, 68.7921509)"
89,1,10,47.0,Чал Чам,Сегодня 17:31,198200,"(38.546926150000004, 68.75433241238348)"
90,1,8,47.0,Рынок Джал-Джам,Сегодня 17:30,203000,"(38.56067835, 68.74870560029927)"
91,2,13,79.0,63 мкр,Сегодня 17:29,480000,"(38.58288255, 68.7482971)"
92,2,9,88.0,Шохмансур,Сегодня 17:29,371000,"(38.5507163, 68.8305472)"
